source,target
12528,842
125324,242095
125324,54320
1255,11088
1255,11169
1255,12400
1255,26719
125544,13374
125570,188183
125738,29920
125738,59961
1262197,227783
12624,842
1262719,228202
12632,2176
1263877,227700
12648,9034
1265058,229408
1265059,229408
1265064,229407
126597,126319
126599,126319
1266051,230896
126638,62177
126765,41517
126768,227094
12677,11548
12677,848
126882,125509
126882,23823
126882,71672
126910,41479
1269,2055
126945,203833
126951,164721
1269,581
12698,10246
12698,16938
12698,22345
12698,850
1269,9804
1269,9922
1270,20737
1270,62837
12708,19899
127380,103269
127424,43641
127440,105210
1274996,239877
127673,17358
1276866,241875
1277050,242076
127716,12145
1277829,242673
127787,250551
12786,10053
12786,127493
12786,1701
12786,1995
12786,2275
12786,27582
12786,76163
1278722,243683
1279523,5718
12804,849
12804,916
1281344,245859
12824,49948
12833,11363
12840,10498
12840,10859
12840,11009
12840,11384
12840,1727
12840,2086
12840,2605
12840,4954
12840,860
1284099,248774
1284493,249164
1284498,244610
1285197,249923
12859,97
128712,86331
1287732,14044
1287732,14449
1287732,18232
12881,11497
12881,20421
12881,28032
12881,9444
12890,13931
12890,14160
12890,585
12891,14301
12891,16320
12891,24428
12891,91739
12891,99861
128991,230158
128992,230158
1290265,254191
12905,9408
12920,10804
12920,11067
12920,9101
12920,9942
1293085,204553
1293457,255913
12936,12151
12936,813
12936,8764
12936,9255
12936,9595
129433,170689
1294471,81481
1294764,92499
1295479,77117
1296119,13855
1296119,57361
1296175,13151
1296176,13151
12962,12117
12962,137093
12962,2059
12962,2064
12962,27022
12962,4244
12962,6637
12962,864
12962,9294
12964,10136
12964,14628
12964,9749
1297123,257346
129715,36419
129716,39037
129718,226857
129718,45272
12987,12151
12987,14013
12987,2830
12987,37136
12987,37137
12987,4256
12987,4257
12987,813
12987,8764
129879,13742
129879,253687
129879,43920
12988,16562
12988,865
12989,12123
12989,1965
129894,124905
129894,43933
12989,4643
12989,5503
12989,8326
12989,8845
12989,9395
12989,9884
1299058,258193
129937,87436
129938,87436
129941,36355
12995,10764
12995,1262
12995,1365
129952,14024
129952,14123
129952,39345
129952,43959
129952,60803
12995,45610
12995,72190
12995,7979
12995,8066
12995,866
1300,12994
130051,255268
130051,38570
130051,80384
130051,94380
130128,14536
13015,10003
13015,10493
13015,19124
13015,227156
13015,27576
13015,867
13015,9331
13015,9481
13015,9555
13015,9869
130311,174188
1304317,259720
130663,44269
130687,41382
13079,2080
13079,5125
13079,80274
13079,868
130816,59968
130837,119431
130837,26688
130938,12246
130957,44425
131081,50388
1311707,31967
131186,54186
131242,12819
131301,195300
131321,44737
1314015,250219
131413,70586
13141,842
131521,44835
131617,39452
131870,100529
131948,39312
132161,45077
132305,25623
13235,129670
13235,2266
13235,2755
13235,65057
13235,9451
13235,9675
132572,36939
13265,11202
13265,5924
13265,871
13284,13320
13284,16563
13284,19761
13284,4808
13284,872
132876,39691
132876,72545
13294,14030
13294,872
132964,158907
132964,60420
133259,11185
133259,11558
133259,9062
133293,5393
133398,158990
133398,45649
133398,49084
133398,83186
133403,87436
133406,45658
133502,75900
133631,45745
13367,876
134129,54445
13426,11381
13426,11665
13426,12107
13426,1824
13426,36593
13426,64807
13426,9291
13426,9506
134306,17663
134604,42941
13484,36685
13493,13192
1349420,123678
135113,46146
13524,13370
13524,13785
135479,46221
135534,17612
135601,46261
135604,82450
13563,10400
13563,10633
13563,11484
13563,12545
13563,14811
13563,17443
13563,2039
13563,912
1357,2266
135754,30127
135795,114779
13581,11637
13581,11806
13581,11888
13581,22620
13581,23172
13581,888
13581,889
13581,9279
13594,888
136141,46429
13614,15037
13614,19366
13615,15037
13615,19366
13620,888
1362796,59722
136345,46420
136495,244786
13663,2267
13680,892
13680,902
1368144,286554
137143,105001
137262,62177
137422,33107
137427,146233
137427,181886
137427,46738
137445,87436
137467,117974
137467,74725
137467,87436
137475,46829
1375201,146239
1375201,79108
137618,46541
13776,10711
13776,2155
13776,3482
13776,8195
13776,898
13776,9306
13776,982
137903,13654
137903,15657
138,16869
138,184
138,1991
138,24
138,393
13848,10098
13848,28978
13848,3082
13848,901
13848,914
13848,962
138,5
138,500
138557,157424
138557,44678
13859,11449
13859,1623
13859,903
13861,12900
138,680
138,68718
138857,36970
139098,46705
139098,97367
139135,47607
139153,41592
139153,85373
139156,41592
139156,85373
13922,42979
13927,7299
13927,9920
139686,47626
13973,10785
13980,2769
139818,204668
139851,15969
139874,12888
139966,27866
140372,109513
140390,48392
140391,48392
14089,26255
141169,46528
14132,10166
1414,37933
141450,1281
1414,83389
141673,159117
141673,49010
141673,87436
141675,49012
141688,49021
141706,19405
14172,8780
141883,127846
141962,84348
142007,14873
142013,159117
142013,180299
142013,94329
142272,42296
142272,72571
142272,82990
142276,42296
142276,72571
142276,82990
142312,49444
142646,210911
143035,25538
143059,138103
143059,45569
143079,49950
143315,59722
143510,100898
143593,110160
143593,184352
143593,26280
143593,51241
143658,174733
14392,1089
14392,11879
14392,12162
14392,281
14392,8665
14392,97630
144009,47218
144009,84306
14409,44945
14409,7942
144221,146238
144221,50348
144476,51739
144519,53457
144536,56832
144536,74135
144590,51608
144812,15709
144845,112198
144960,15302
144977,13382
145045,101179
145117,51991
14520,5925
14520,966
145228,48395
145612,30618
145627,17740
14566,10911
145675,52264
145676,52264
145701,52274
145763,70793
145795,158916
145821,114606
145867,77234
14597,34647
14597,979
14606,200713
1461,10316
1461,152760
1461,3291
14614,11101
1461,4912
1461,4942
1462,11065
1462,12834
14639,10156
14639,11072
14639,12110
14639,30197
14639,3034
14639,8005
14639,957
146413,140222
146439,220289
14674,11113
14674,630
14674,770
14674,981
14692,11008
14692,11884
14692,12139
147040,204765
147042,66118
147531,46523
147532,46523
147695,87436
147702,15653
14773,10734
14773,11549
14773,11916
14773,12584
14773,984
148498,53567
148747,79553
14875,990
14887,76543
14911,10945
14911,11005
14911,11091
14911,11287
14911,21539
14911,2280
149262,53923
149263,53923
1496,136
1496,138
14987,11895
14995,11825
14999,10331
14999,11683
14999,13025
14999,16281
14999,29426
14999,8408
14999,923
150003,3170
15002,146216
15002,7552
15002,926
150207,177888
150207,81250
15042,17037
15045,13767
15045,23023
15045,60405
15045,9021
150630,111440
150,97430
151007,53985
151007,81188
15106,10442
15111,9103
15115,7862
15115,97614
151232,18276
15148,1049
15148,1710
15148,1844
15148,9341
15148,9414
15175,10479
15175,1051
15175,10632
15175,12526
15175,38985
15175,73567
15175,9552
15175,9846
15189,1052
15189,5165
15217,1271
15217,13183
15217,23629
15217,41216
15217,49521
15217,924
15218,118340
15218,45132
15218,87818
15218,9035
1524,11153
1524,11977
1524,137
1524,1636
1524,17610
1524,9005
1524,9304
1524,9535
1524,9932
15254,1075
15254,11044
15254,11902
15277,10138
15277,10719
15277,1726
15277,212778
15277,49849
15277,6795
15287,1088
15287,9701
15337,11096
15344,13475
15344,140607
15344,37686
15344,54138
15344,956
15345,98548
15361,1090
15378,17917
153882,87818
15389,11012
15389,1786
154,13155
15435,12572
154521,174321
154547,99367
154705,77174
15488,103747
15488,1116
15488,38884
15521,10723
15521,16136
15521,9059
155267,137106
155267,187017
155267,22794
155267,64688
155357,72477
155531,59678
15557,1125
15557,162903
15557,50619
15557,50620
15657,14140
15663,580
15663,8333
1577,141
1577,22825
157730,192936
15774,109445
15774,37135
1577,4723
15774,9408
15775,10481
15775,15789
15775,37135
15775,4523
15778,13205
15780,59981
15798,9263
15810,10144
15810,10198
15810,11970
15810,812
15810,9016
15810,9994
15811,10144
15811,10198
15811,11970
15811,812
15811,9016
15811,9994
15812,7484
15812,8587
158484,233470
15868,6968
15868,9589
15872,3293
15890,10543
15890,10743
15890,7183
15890,9504
160942,3170
16136,919
16137,18839
16137,18874
1614,10451
1614,142
1614,146
1614,1927
16142,196750
1614,26320
1614,4584
1614,4588
1614,87827
1614,9261
16187,16633
16187,579
16187,9651
161932,147773
16214,10952
16294,14462
16294,14976
16294,274
16294,9800
16304,36691
16304,7501
16305,36691
16305,7501
16328,8390
16356,1268
1,636
16378,1359
163784,84340
16384,123
16384,14239
16391,12524
16391,1360
16391,4688
16395,16052
16410,10150
16410,1362
16411,10150
16411,1362
16435,1364
16435,48650
16483,1246
16483,1367
16483,1371
16483,1374
16483,27578
16483,7555
1650,147
1650,1628
1650,1714
1650,1716
1650,255
16513,10495
16513,10908
16513,1366
16513,1375
16513,1885
16513,8856
16544,1368
16544,8491
16566,11969
16566,1369
16566,14372
16566,9874
165787,82690
16589,1370
16589,27793
16589,3513
16590,9399
16590,9594
166291,189197
16672,10379
166999,43960
16767,73532
16785,1248
16785,127372
16785,3635
16808,160085
16808,253370
16808,73770
16829,1252
16829,152259
168330,113947
16834,1249
16834,23169
16837,1250
16837,13477
16837,22796
16837,77663
16837,9480
16842,1267
16847,11547
16847,1690
16847,1691
16848,104755
16848,1696
16848,2082
16848,24150
16848,2662
16853,10464
16853,10950
16860,1382
16863,10712
16863,3902
168667,114150
168798,82679
16888,30295
16897,10485
16897,21629
16919,133469
16919,1407
16919,215211
16919,60672
16927,2266
16938,10131
16938,10477
16938,11026
16938,11412
16938,13252
16938,1408
16938,1573
16938,16617
16938,169219
16938,17134
16938,188207
16938,50601
16938,8914
16938,9350
16938,9548
16938,9954
16959,103332
16959,773
16960,103332
16960,773
17010,7281
17016,102780
17016,11386
17016,1770
17016,38448
17016,4413
17016,628
1704,22
1704,285
1704,44896
1704,565
1704,57201
1704,58
1704,6073
17046,10096
17046,10521
1704,6283
17046,37056
1704,6963
17046,9986
1707,100241
1707,43930
170820,226486
17087,1430
17087,1777
17087,1779
17087,22074
17087,2359
17114,13403
17114,1378
17114,27585
17119,200085
17167,11529
17167,1439
17167,1968
17167,27573
17167,33689
17167,8488
17167,8676
17167,9454
172,158914
172,1988
172,2577
172,27
172,2750
1723,11064
1723,11474
1723,11595
1723,14746
1723,150
1723,15070
1723,70074
172,37414
1723,9333
1723,9604
1724,11856
1724,6951
1724,714
1724,8452
1724,9876
1726,11667
172,63578
17268,11932
17268,1613
17268,181009
17268,6466
17268,7549
17279,10873
17279,8080
17281,10766
17281,3604
17282,11075
17282,14943
17282,4241
17282,58857
17282,9696
172984,13683
173004,14174
17309,13704
17329,1491
17329,157350
17329,51876
17350,1523
17350,162215
17350,16995
17350,49494
17350,66150
17350,90125
173667,89008
17380,20342
17380,206260
17386,8841
17397,12085
17397,9583
17403,12569
17403,1542
17403,3179
17403,7512
17439,55347
1744,10514
1744,11772
1744,15121
1744,152
1744,1725
17447,10147
17447,1548
17447,9786
1744,828
17458,152584
1748,172
1748,70703
1749,12154
1749,157
1749,168
174917,8968
17494,10661
17494,10878
17494,109418
17494,11077
17494,11078
17494,3563
17494,38365
17494,50546
17494,71880
17494,9032
17494,9614
17494,9622
17494,9957
17496,21575
17496,97365
17510,1544
17510,90369
175160,20235
17520,1555
17520,1826
17520,206408
17520,8279
175463,69798
17597,1562
17597,63207
176041,69778
176042,69778
176246,8766
17633,10197
17633,1574
17633,1865
17633,1904
17649,1577
1769,1443
1769,153
1769,1887
1769,39210
17698,1581
17698,22897
17698,3981
17698,6964
17698,9820
1769,96936
177306,72432
1776,11975
1776,227
1776,232
1776,238
1776,240
1776,242
1776,28
1776,592
1776,6114
1776,7095
17784,10652
17784,2099
17812,10559
17812,10592
17812,1592
17812,6145
17812,8090
17812,9411
17825,11007
17825,116741
17825,11870
17825,12090
17825,12096
17825,1593
17825,18360
17825,239678
17825,35056
17825,39254
17835,23082
17835,36801
178486,15658
17867,12473
17867,2056
17867,55725
17871,16538
17871,5966
1788,154
1788,174
17883,1599
17883,168672
17883,45317
17883,6415
17883,82693
17884,244566
1788,7012
180576,18843
18069,11133
18069,9623
18072,4398
18072,8366
18072,9805
18161,28938
18161,75969
18179,11379
18184,13492
18184,1620
18184,38541
18184,87436
18185,9812
181870,80188
182009,156708
18250,13389
18250,1633
18250,3489
18254,16248
18254,1634
18254,2453
18254,9290
18254,9588
18254,9826
18281,10025
18281,11011
18281,11191
18281,11520
18281,1493
18281,23049
18281,9919
18308,1498
18308,83191
18308,9612
18311,11467
18311,13673
18311,16889
18311,9959
18320,1641
18323,11172
18323,24438
18323,2642
18335,1644
18335,8740
18342,23367
183,42994
18355,173210
183,55931
18356,10057
18356,10414
18356,11674
18356,12508
18356,13498
18356,14849
18356,15413
18356,1648
18356,16643
18356,2054
18356,3980
18356,9713
18357,14113
18357,1649
18357,24271
18357,8920
18357,9449
18378,10021
18378,10860
18378,1788
1,838
18392,10242
18392,1654
1843,158
1844,130747
1844,170759
1844,53174
1844,6076
1844,9510
1844,9511
18500,120605
18500,13339
18500,9766
185,149
18524,1666
18525,1667
18532,1667
185,42994
185438,76492
18563,25253
185,8953
18596,119283
18596,11929
18596,11983
18596,1677
18596,1813
18596,2623
18596,9702
18598,12516
18598,1678
18635,10648
18635,1685
18635,4929
186367,64202
186371,166076
18669,10911
18669,12715
18669,1688
18669,1705
18669,9838
186783,70954
1869,9503
18710,1697
187,16907
18738,1712
18738,2576
18738,3110
187,42994
18834,1721
1884,109421
1884,11323
1884,119675
1884,1389
1884,1412
1884,161
1884,163
1884,17680
1884,182
1884,1900
1884,2103
1884,298
1884,39538
18844,16164
18844,1722
18844,1934
18844,48289
1884,462
18844,74534
18844,9777
1884,70435
1884,77930
1884,8880
1884,8881
18863,10527
18863,80321
18863,8916
18863,953
18864,10527
18864,38055
18864,80321
18864,953
18865,10027
18865,1724
18865,18823
18865,4108
18865,75656
18865,9335
18868,1725
18878,10048
18878,10423
18878,11228
18878,11478
18878,1735
18878,7451
18878,8840
18878,94348
18878,9799
18889,10366
188897,73454
18897,10753
18897,10974
18897,10975
18897,21519
18897,8697
18897,9056
18897,98567
18898,10137
18898,10756
18898,10996
18898,1729
18898,62046
18898,82703
18898,8587
18899,11143
18899,11230
18899,12780
18899,37034
18903,201749
1893,43939
1895,11591
1895,6471
1895,9442
19000,15577
19000,199420
19000,7304
19003,1776
19006,1776
190,10015
190,10650
190,10724
190,10747
190,11901
19012,1781
19012,18041
19012,22492
190,1251
190,13223
190,17689
190,20187
190,209451
190,22954
19026,185267
190318,15567
19032,14821
19032,14822
190,322
19032,21970
190,33
190,3580
190,3683
19037,2274
190,44603
190,5551
190,66
190,6723
190,688
190,70
190,8197
190,8879
190,88794
190,9559
190,9573
19142,11966
191889,178682
1921,38050
19224,11171
19224,13168
19224,46837
19228,18736
19242,16558
19242,4566
19242,49040
19244,13939
1927,10794
19271,100402
19271,1819
1927,11843
1927,12268
1927,12614
1927,1594
1927,164
19272,100402
19272,1819
19274,109414
1927,6081
1927,918
1927,936
1927,9660
19303,10358
19303,1832
19303,2255
19303,2292
19303,2293
19303,2294
19303,2295
19303,23742
19303,48572
19303,9541
19304,10518
19304,3116
19305,11982
19311,84892
19328,15876
19346,102362
19346,15472
19359,18897
19429,9462
19450,26617
19457,11123
19499,1273
19499,43935
19542,1857
19606,10297
1961,166
1961,171
19639,1870
19639,1871
19639,1875
19665,10669
19665,11527
19665,11586
19665,2575
19665,4923
19684,160139
19684,2259
19684,4415
197,35
19744,1884
197,585
19769,1266
19769,144336
19769,228150
19769,77016
19769,7873
1978,10428
1978,167
1978,2309
1978,9913
1979,6478
19800,1892
19840,1902
19840,1913
19840,1933
19840,26428
19840,9299
19841,68818
19850,11023
19850,49730
19850,8966
19850,9787
19852,5951
19866,10795
19866,190955
19866,48034
19969,1921
199939,85414
2000,143
2000,299
20019,132363
20019,25793
20019,82390
20028,8342
20030,36970
20031,23437
20074,182246
201,157820
201,300
20133,41436
201,38
201,40805
201,4953
20173,209185
20192,15092
20192,18501
20192,1948
20192,71676
20193,15092
20193,18501
20193,1948
20193,71676
20212,59296
20218,1954
20219,1954
20237,9090
20237,9801
202,4960
20267,130739
20307,13752
20307,1969
20307,70667
20308,13752
20308,1969
20308,70667
20310,11838
20310,1970
20310,1975
20310,82657
2034,12405
2034,1272
2034,13373
2034,170
2034,1907
2034,44115
2034,627
2034,68727
2034,8067
2034,9905
20382,14913
20400,10611
20400,11045
20400,168530
20400,181330
20400,184098
20400,1979
20400,67660
20400,9738
20412,10803
2042,10160
2042,10562
2042,10586
2042,1683
2042,169
2042,178
2042,2157
20430,25205
204553,242643
2053,12149
2053,15487
20556,13975
20556,209355
20561,10362
20561,152599
20561,2001
206169,87436
20629,15301
20629,2007
20629,6069
20629,65759
20629,8810
20629,9355
20629,9447
20629,9659
20629,9836
20640,10997
20640,14365
20646,11321
20646,1402
20646,77875
206476,196024
206476,48748
20657,103740
20657,2009
20659,2011
20665,2016
206719,13313
20674,2395
