source,target,role
"18992","4104","Benjamin 'Benny' Pearl"
"18992","43949","Richard Baker"
"18992","4476","Alfred Ludlow"
"18992","48138","Martin B."
"18992","53457","William Rainsferd"
"18992","6435","Gary Hallet"
"18992","8130","Dez"
"18997","135397","Beth"
"18997","24021","Victoria"
"18997","40807","Rachael"
"18997","44603","Melanie"
"18997","50014","Hilly Holbrook"
"18997","534","Kate Connor"
"18997","559","Gwen Stacey"
"18997","6947","Ivy Walker"
"18997","9697","Story"
"18998","10549","Player Queen"
"18998","2046","Annie's Granny"
"18998","557","May Parker"
"18998","558","May Parker"
"18998","559","May Parker"
"18998","59962","Nana Foster"
"18998","7972","Nanette"
"18999","115782","Arthur Rock"
"18999","12569","Brian"
"18999","14536","Stu Kopenhafer"
"18999","16538","Oswald Klaven"
"18999","1715","Ray Kendall"
"18999","19994","Mr. Wroblewski"
"18999","2023","Buffalo Bill Cody"
"18999","2046","Sheriff Pearl Johnson"
"18999","22947","Bob"
"18999","242042","Dr. Bertleman"
"18999","244786","Terence Fletcher"
"18999","25704","Roy Davies"
"18999","38055","Warden"
"18999","4824","FBI Agent T. I. Witherspoon"
"18999","4944","CIA Superior"
"18999","5125","Lee Mayer"
"18999","5516","Garth Pancake"
"18999","557","J. Jonah Jameson"
"18999","558","J. Jonah Jameson"
"18999","559","J. Jonah Jameson"
"18999","56401","Henry Sawyer"
"18999","6073","Ted Slocum"
"18999","7326","Mac MacGuff"
"18999","77866","Captain Camp"
"18999","7873","Agent Richards"
"18999","83686","Mr. Jansen"
"18999","9388","BR"
"190042","26280","Richard Minel"
"19008","1776","himself"
"190","10015","Gunnery Sgt. Tom 'Gunny' Highway"
"190","10648","Insp. Harry Callahan"
"190","10649","Insp. Harry Callahan"
"190","10650","Insp. Harry Callahan"
"190","10651","Insp. Harry Callahan"
"190","10724","Mitchell Gant"
"190","10734","Frank Morris"
"190","10747","Josey Wales"
"190","11046","Lt. Morris Schaffer"
"19011","1430","Himself"
"19011","1777","himself (archive footage)"
"19011","1781","Himself (archive footage)"
"19011","2359","Himself"
"190","11589","Sergeant First Class Kelly"
"190","11901","The Stranger"
"190","11916","Hogan"
"19013","1777","Himself - U.S. Vice President and Senate President (archive footage)"
"19013","1781","himself"
"190","13223","Walt Kowalski"
"19013","7249","Al Gore"
"190","15417","Philo Beddoe"
"190","17169","Philo Beddoe"
"190","17689","Ben Shockley"
"190","20187","Dr. Jonathan Hemlock"
"19020","3090","Howard"
"19020","963","Captain Jacoby (uncredited)"
"1902","10950","Annie Cassell"
"1902","11000","Louise Keeley"
"1902","11382","Helen Sinclair"
"1902","13944","Toni"
"1902","1547","Lucy Emerson"
"1902","1552","Helen Buckman Lampkin Bowman"
"1902","162","Peg"
"1902","1788","Vi Moore"
"1902","27585","Nat"
"19023","11590","Jim Ahern"
"19023","74643","Set Assistant"
"19024","12569","Hector"
"19024","59117","Solís"
"1902","4960","Ellen Bascomb"
"1902","4960","Millicent Weems"
"1902","5143","Holly"
"1902","547","Diane Booker"
"1902","6435","Tante Bridget 'Jet' Owens"
"1902","71864","Ms. Bernice Crudstaff"
"1902","7211","Nana"
"1902","73937","Brenda Harris"
"1902","8194","Dito's Mother"
"1903","10150","Schmendrick (voice)"
"1903","10249","A. 'Peevy' Peabody"
"1903","10442","Tony's Boss"
"1903","10442","Precinct Capt. (uncredited)"
"1903","11206","Roat"
"1903","11206","Roat Jr."
"1903","11206","Roat Sr."
"1903","11467","Wellness Guide"
"1903","11665","The Chief"
"1903","121824","Richard Hirsch"
"1903","124459","Rance Holloway"
"1903","13090","Joe"
"1903","13767","Bud Newman"
"1903","14306","Arnie Klein"
"1903","162","Bill"
"1903","198185","Ray Arkin"
"1903","25318","Leon Feldhendler"
"1903","28053","Michael Malakov"
"190","33","Bill Munny"
"19034","12162","Connie James"
"19034","39254","Bailey Tallet"
"1903","4475","Herb Lee"
"19034","57158","Tauriel"
"1903","49520","Mitch's Dad"
"1903","5125","Senator Hawkins"
"1903","64328","Tour Guide"
"1903","64807","Lightning"
"1903","68734","Lester Siegel"
"1903","773","Grandpa"
"1903","782","Detective Hugo"
"190","391","Joe"
"1903","9434","Dr. Oatman"
"1903","9504","George Aaronow"
"1903","9754","Arlin Forester"
"190405","18533","Charlie's Mum"
"1904","11153","Rusty Griswold"
"1904","11814","Gary Wallace"
"1904","13166","Mr. Davidson"
"1904","15144","The Geek"
"1904","151933","Red Hernandez"
"1904","155","Engel"
"1904","162","Jim"
"1904","20536","Whitey Ford"
"1904","2108","Brian Ralph Johnson"
"190","429","Blondie"
"1904","3293","Bill Gates"
"190","4929","Marshall Jed Cooper"
"1905","11815","François Delambre"
"1905","15856","Frederick Loren"
"1905","162","The Inventor"
"1905","17965","Dr. Anton Phibes"
"1905","1939","Shelby Carpenter"
"1905","3073","The Invisible Man (voice) (uncredited)"
"1905","32085","Narrator (Voice)"
"190","5551","Frank Corvin"
"1905","6844","Baka"
"19057","622","Andrew Telfer"
"1905","9442","(in The Bribe) (archive footage)"
"1905","9994","Professor Ratigan"
"19062","13635","Pierre André Mesrine"
"19062","31203","Le directeur"
"19062","53457","Edouard Tezac"
"19062","9045","Kardinal"
"190","66","Luther Whitney"
"190","6723","Nick Pulovski"
"19068","52264","Jeanne"
"190","688","Robert Kincaid"
"190","70","Frankie Dunn"
"19071","1786","Julien Quentin"
"1907","140823","Tommie"
"1907","162","Joyce"
"1907","16409","Jean"
"1907","1715","Nurse Angela"
"1907","1717","Mrs. Burden"
"1907","2176","Nancy Ryan"
"19072","1786","Jean Bonnet"
"1907","2289","Sally Swanger"
"1907","45610","Daisy"
"19075","10353","Frère Ponce"
"19075","109","Le juge"
"19075","1786","Père Jean"
"1907","5951","Bernadette"
"19076","1786","Joseph"
"1907","78698","Ruth McGraw"
"1908","11158","Nick Szalinski"
"1908","162","Kevin"
"190","8348","Thunderbold"
"190","87825","Gus"
"190","8839","Himself (uncredited)"
"190","8879","Preacher"
"1908","9354","Nick Szalinski"
"190895","102382","Kari"
"190895","125490","Hannah Geist"
"190895","157851","Clarice"
"190895","181886","Helen"
"190895","205601","Elizabeth"
"190895","212716","Megan"
"190895","227783","Lana"
"190895","48231","Emma Jung"
"190895","49014","Elise Shifrin"
"190895","49017","Mirena"
"190895","69668","Cindi"
"190895","8669","Priscilla"
"190905","133369","Dame"
"190","9077","Pilot"
"1909","10774","Barbara Schlesinger"
"1909","11191","Leona"
"1909","162","Helen"
"1909","167","Betty McAllister"
"1909","2022","Jan"
"19092","10861","Chantal Moreau"
"19092","4593","Alice Sénéchal"
"190","9386","Secret Service Agent Frank Horrigan"
"190","938","Monco"
"1909","462","Brenda"
"190","9559","Chief Red Garnett"
"190","9573","Terry McCaleb"
"1909","62214","Bob's Mom"
"190","984","Insp. Harry Callahan"
"1910","10783","Sharpling"
"1910","10956","Joe's Mom"
"1910","11562","Barbara"
"1910","14043","Barbara Barbara"
"1910","162","Marge"
"1910","187017","Annie Schmidt"
"1910","2639","Doris"
"19","10395","Party Guest"
"1910","64688","Annie Schmidt"
"19106","903","Society Red"
"1910","9007","Grace"
"19109","10653","Miss Finch"
"19109","11549","Theodora 'Teddy' Belicec"
"19109","574","Cindy Fontaine"
"1910","9759","Marilyn Mooney"
"19109","8974","Blonde party guest (uncredited)"
"19110","9660","Maj. Edna Heywood RN"
"19111","13554","Judge Kenesaw Mountain Landis"
"19111","539","California Charlie"
"1911","162","Officer Allen"
"1911","22164","Roberto"
"19116","15152","La princesse Al Tarouk"
"19116","39385","Karine"
"1911","6471","Taj"
"19116","86868","Karine"
"19117","11156","Emilienne"
"19119","1254","Lili"
"19119","160139","Young Estefania"
"19119","16869","Shosanna Dreyfus"
"19119","181886","Mary"
"19119","2016","Margueritte village Vosges"
"19119","25205","Anne-Marie Jacquet"
"19119","41411","Annette Monod"
"19119","55347","Anna"
"19119","75656","Alma Dray"
"19119","8279","Laetitia"
"19119","8736","Natacha"
"191202","48572","Deputy Pete"
"1912","162","Esmeralda"
"191228","82679","Wren"
"191228","84199","Jane Harmon"
"19123","10234","Anna"
"19123","1791","Mrs. Schober"
"19123","37903","Frau Wagner, die Hebamme"
"1912","37165","Bar Waitress"
"19123","8055","Carla Berg"
"191252","158011","Female Trainee"
"191252","169934","Sasha Hammer"
"191260","127493","Pete"
"19","12","Peach"
"19131","10015","Aggie"
"19131","10379","Polly Cronin"
"19131","2086","Gov. Eleanor Grant"
"19131","57825","Catherine Darcy"
"1913","162","Tinka"
"19137","16538","Lou Ferrigno"
"19137","1724","Voice of The Incredible Hulk"
"19137","1724","Security Guard"
"19137","1927","Security Guard"
"19137","5205","Himself"
"19137","99861","Hulk (voice)"
"19138","11598","Lui-même"
"1913","8913","Missy Dandridge"
"1913","9829","Jane Folger"
"19144","2293","Rene Mosier"
"19144","2294","Herself"
"19144","2640","Heather Duke"
"19146","205321","Fin"
"19146","248504","Fin Shepard"
"19146","9923","Himself"
"19","147773","Betty"
"19148","9923","Himself"
"19149","4248","Alex Monday"
"19","14","Barbara Fitts"
"19151","16366","Potiphar (voice)"
"19151","24428","Senator Boynton"
"1915","162","Host TV"
"19152","10288","Bill Robinson"
"19152","10683","Bill Maplewood"
"19152","109443","Freddie Shapp"
"19152","11096","Sheriff Hafferty"
"19152","11973","Robert McNamara"
"19152","2043","Ollie McArthur"
"19152","23202","Steven"
"19152","2609","Owen"
"19152","4148","Jack Ordway"
"19152","5353","CIA Operative"
"19152","558","Dr. Curt Connors"
"19152","559","Dr. Curt Connors"
"19152","84165","Ron"
"19152","8843","Henry West"
"19152","8984","Philip Blackburn"
"19152","9809","Warden"
"19153","10061","President"
"19153","11422","Cmdr. Jessop"
"19153","11963","J. Higgins"
"19153","15050","Alex Terson"
"19153","557","Ben Parker"
"19153","558","Ben Parker"
"19153","559","Ben Parker"
"19154","14125","Gary Dexter"
"19154","558","John Jameson"
"19154","559","John Jameson"
"19154","57825","Johnny Wickham"
"191557","1497","Chief Sterns"
"19159","10603","Lyle van de Groot"
"19159","11969","Billy Clanton"
"19159","12138","Quigley"
"19159","19724","Johnny Whitefeather"
"19159","236751","Jay Wilkins"
"19159","23706","Hartman"
"19159","26264","Lyle Van de Groot"
"19159","37735","Mr. Griffith"
"19159","49529","Tal Hajus"
"19159","559","Sandman"
"19159","559","Flint Marko"
"19159","73567","Ansel"
"19159","74465","Duncan Mee"
"19159","7512","Brawndo CEO"
"19159","7518","Dwayne (voice)"
"19159","9059","Roach"
"19159","9675","Jack"
"19159","9986","Brooks the Crow (voice)"
"191601","177699","Dave Clifton"
"191601","46138","Dave"
"19161","171","Mädchen"
"19161","9280","Herself"
"19162","12310","Louis XIII (as Jean Pierre Cassel)"
"19162","15383","Jean François Jardie"
"19162","2013","Father Lucien"
"19162","2395","Miraculix"
"19162","2926","Louis XIII"
"19162","4176","Pierre Paul Michel"
"19162","4593","M. Sénéchal"
"19162","60670","Dr. Bernard Chernezé"
"19163","1907","Françoise"
"19163","1958","Suzon"
"19163","21427","Emilie"
"19163","44269","Agathe"
"19163","99579","Gabrielle de Polignac"
"19165","13312","L'infirmière"
"19165","53457","Genneviève Dufaure"
"191661","16608","Patrick Hopkins"
"19","17127","Constance Miller"
"19178","11576","Sylvester Marcus"
"19178","30197","Lorenzo St. DuBois (L.S.D.)"
"19181","10297","Eben"
"19183","16858","Davis Newman"
"19183","4816","Sonny Valerio"
"19185","63710","Himself"
"19187","12095","Pam"
"19187","13203","Tracy"
"19189","10802","Nomi Malone"
"19189","17532","Trudy Potter"
"19189","2779","Jill"
"19189","2925","Phoebe LaVelle"
"191897","51540","Kurt's Co-Worker"
"191897","55347","Secretary"
"19190","188161","Montgomery"
"19","19255","Lily"
"19195","1807","Alex"
"19195","82657","Jake"
"19195","8457","Filkins"
"19196","1807","Eric"
"19197","13249","Kid"
"19197","1807","John McFarland"
"19197","9787","Stacy"
"19200","1807","Carrie"
"1920","10436","May Welland"
"1920","10641","Charlotte Fielding"
"1920","13173","Kelly La Fonda"
"1920","13475","Amanda Grayson"
"1920","162","Kim"
"1920","17436","Cheryl Laine"
"1920","2022","Babe Bennett"
"1920","204082","Sheryl Mott"
"1920","20539","Abigail Williams"
"1920","2259","Blanca Trueba"
"1920","2640","Veronica Sawyer"
"1920","2788","Lelaina Pierce"
"1920","339","Corky"
"1920","3509","Donna Hawthorne"
"1920","3558","Susanna Kaysen"
"1920","4011","Lydia Deetz"
"1920","44214","Beth MacIntyre"
"1920","44564","Geneva Brannen"
"1920","4475","Sandra Dulles"
"1920","4587","Charlotte Flax"
"1920","6114","Mina Murray"
"1920","6114","Elisabeta"
"1920","62214","Elsa Van Helsing"
"1920","68812","Deborah Kuklinski"
"19207","10591","Mr. Kidman"
"19207","1807","Mr. McFarland"
"1920","8078","Annalee Call"
"1920","9296","Nicola Anders"
"1920","9398","Herself"
"19","209403","Dr. Bernice Deagan"
"1920","9466","Nola"
"1920","9587","Jo March"
"192","10027","Sam"
"192","10064","Moses Ashford"
"19210","10515","Pazu (English version)"
"19210","130150","Officer Treadwell"
"19210","14709","Jonathan 'Mox' Moxon"
"192","101731","Monte Wildhorn"
"19210","1809","Sean Bateman"
"19210","4247","Dawson Leery"
"192","10480","Charlie"
"192","10562","Captain Victor Benezet"
"19211","11457","Josh"
"19211","1809","Paul Denton"
"19211","24056","Miles Slade"
"192","11258","Jim"
"192","11560","Charlie Grimes"
"192","117263","Speaker Trumbull"
"192","11831","Theodore"
"19211","9682","Dexter"
"192","12123","Paul Shannon"
"19212","14148","Edmund Grooms"
"19212","1809","Richard 'Dick' Jared"
"192","12634","Walter Crewes"
"192","137093","Archie"
"192","137106","Vitruvius (voice)"
"192","1441","Frank Carden"
"192","14979","Keith Ripley"
"19215","10518","Rosenbaum"
"192","155","Lucius Fox"
"192","157353","Joseph"
"192","1623","Walter"
"192","1667","Narrator"
"192","186","The Boss"
"192","1947","Mitch Bradley"
"192","2043","Alex Cross"
"1922","109421","Dr. Victoria Siebert"
"1922","11467","Gwen Harrison"
"1922","11618","Theo"
"1922","11775","Marilyn Rexroth"
"1922","14411","Marina"
"1922","146216","Katja"
"1922","1574","Velma Kelly"
"1922","163","Isabel Lahiri"
"1922","1656","Elena"
"1922","1844","Virginia Baker"
"1922","1900","Helena Ayala"
"19222","18392","Nicole"
"1922","24122","Sandy"
"1922","243","Charlie Nicholson"
"1922","2699","Isabella Paradine"
"19222","9100","Rochelle"
"19222","9490","Mary Jane Potman"
"192","22954","Nelson Mandela"
"1922","3638","Kate"
"19223","9430","Mannie"
"192","240832","Professor Norman"
"192","24271","Charles"
"1922","594","Amelia Warren"
"19","226486","Deb"
"19226","9711","Hastings"
"192","2698","God"
"19227","109410","Kirby Higbe"
"192","272","Lucius Fox"
"1922","77875","Denise"
"192","278","Ellis Boyd 'Red' Redding"
"1922","80585","Patricia Whitmore"
"1922","84305","Tulip Heimowitz"
"1922","9342","Elena Montero"
"1922","9342","Elena Murrieta"
"1922","9826","Sala"
"1922","98357","Cathleen Hostetler"
"192","310","God"
"1923","11418","Man in the Bathroom"
"1923","121674","Mr. Jaggers"
"1923","12444","Rubeus Hagrid"
"1923","12445","Rubeus Hagrid"
"1923","163","Matsui"
"1923","21755","The Curator"
"1923","30923","Tweedledum"
"1923","36643","Valentin Zukovsky"
"192","33","Ned Logan"
"19234","121835","Omi"
"1923","51052","Lead Elf"
"1923","62177","Lord Dingwall (voice)"
"1923","671","Rubeus Hagrid"
"1923","672","Rubeus Hagrid"
"1923","673","Rubeus Hagrid"
"1923","674","Rubeus Hagrid"
"1923","675","Rubeus Hagrid"
"1923","7092","Mr. Hyde ( voice )"
"1923","710","Valentin Dmitrovich Zukovsky"
"1923","7131","Mr. Hyde (voice)"
"1923","767","Rubeus Hagrid"
"1923","768","Sergeant Peter Godley"
"1923","849","Rhun"
"19239","14980","Cathy Kramer"
"19239","1813","Alice Lomax"
"19239","3683","Belle Block"
"192","39514","Joe Matheson"
"1923","9978","Prime Minister"
"192","403","Hoke Colburn"
"1924","11453","Gaspar Voorsboch"
"1924","13701","Anton Felix Schindler"
"1924","163","van der Woude"
"1924","5503","Dr. Charles Nichols"
"192","4614","DCI William Cabot"
"1924","708","General Georgi Koskov"
"192","4771","Jack Doyle"
"192","49026","Fox"
"1924","9454","Auguste"
"1925","10047","Gilles de Rais"
"1925","10347","Yann Le Pentrec aka Dobermann"
"1925","13635","Jacques Mesrine"
"1925","13742","Joseph"
"1925","15362","Jacques Mesrine"
"1925","163","François Toulour"
"1925","197796","La bête"
"1925","2252","Kirill"
"1925","298","François “The Nightfox” Toulour"
"1925","406","Vinz"
"1925","44214","Thomas Leroy"
"1925","4518","Duc d'Anjou"
"1925","48231","Otto Gross"
"1925","60670","Max Kerkerian"
"1925","6312","Jean-François de Morangias"
"1925","68727","Franck"
"19257","11825","Kate"
"19257","16441","Witchwoman #3"
"1925","808","Monsieur Hood (voice)"
"1925","8999","LaRoche"
"1925","979","Marcus"
"19260","10127","Johnny Steele"
"19260","10127","Ug"
"1926","10873","Gustav von Wangenhein"
"1926","14248","Dr. Schadenfreude"
"1926","163","Roman Nagel"
"192","6171","Col. Abraham Curtis"
"19262","11887","Ms. Darbus"
"1926","2253","Erich Fellgiebel"
"1926","2454","Reepicheep"
"192","62837","Dr. McCarthy"
"1926","298","Roman Nagel"
"192632","145220","Scooter"
"192632","145220","Janice (voice)"
"192632","64328","Scooter"
"192632","64328","Janice"
"192632","64328","Miss Poogy"
"192632","64328","Wayne (voice)"
"1926","4474","Professor Bedlam"
"1926","45077","Garrett"
"1926","49013","Sir Miles Axlerod (voice)"
"19265","9516","Karen Lawson"
"1926","83191","Long John Silver"
"1926","9320","Bailey"
"192","6950","Billy Ford"
"1926","9824","Tony P"
"1926","9904","Nigel"
"192","70","Eddie Scrap-Iron Dupris"
"192","7350","Carter Chambers"
"19274","10189","Dale Denton"
"19274","10358","Zack"
"19274","109414","Seth Rogen"
"19274","12133","Sporting Goods Manager"
"19274","12222","Morton (voice)"
"19274","13532","Admiral Seasholtz"
"19274","13532","Alien"
"19274","13532","Roach"
"19274","15512","B.O.B. (voice)"
"19274","16991","Ronnie Barnhardt"
"19274","1819","Neil"
"19274","187017","Morton Schmidt"
"19274","195589","Mac Radner"
"19274","20829","Ira Wright"
"19274","39513","Paul (voice)"
"19274","40805","Britt Reid"
"19274","40805","Green Hornet"
"19274","40807","Kyle"
"19274","49444","Mantis (voice)"
"19274","4964","Ben Stone"
"19274","53985","B.O.B. (voice)"
"19274","6957","Cal"
"19274","81003","Mantis"
"19274","82687","Andy Brewster"
"19274","8363","Officer Michaels"
"19274","84200","Jerry"
"19274","86555","Lou Rubin"
"19274","8699","Eager Cameraman"
"19274","9502","Mantis (voice)"
"192","74","Narrator (Voice)"
"19275","10878","Sandy"
"19275","11870","Monty Kirkham"
"19275","1819","Annie"
"192","75612","Beech"
"192","75656","Thaddeus Bradley"
"19275","9532","Terry Chaney"
"19277","13641","Frank"
"19277","1819","Tony"
"19277","35217","Darryl"
"19278","10074","Dave"
"19278","10189","Private Miller"
"19278","109451","Flint Lockwood (voice)"
"19278","129139","Willy"
"19278","133790","Rags"
"19278","152601","Chat Room Friend #2"
"19278","16614","Bobby"
"19278","180296","Kyle"
"19278","1819","Mark"
"19278","18360","General George Armstrong Custer"
"19278","187017","Culinary School Villain"
"19278","22794","Flint Lockwood (voice)"
"19278","38055","Bob Prickles"
"19278","39513","Haggard"
"19278","41154","Andy Warhol"
"19278","4964","Brent"
"19278","57089","Hansel (voice)"
"19278","62211","Referee (voice)"
"19278","7446","Rob Slolom"
"19278","77950","Guy Gagné (voice)"
"19278","8355","Gazelle (voice)"
"19278","8363","Officer Slater"
"19278","9870","Brian"
"19279","1819","Himself"
"19280","17436","Bruce's Mother"
"19280","1819","Thompson's Secretary"
"19280","79694","Mrs. Henley"
"192","807","Detective Lt. William Somerset"
"192815","604","Zion Virtual Control Operator"
"192","8367","Azeem"
"192","8656","President Tom Beck"
"192","8909","Sloan"
"19292","10202","Skeeter Bronson"
"19292","10661","Zohan"
"19292","10663","Bobby Boucher"
"19292","10723","Archie Moses"
"19292","109418","Lenny Feder"
"19292","11003","Robbie Hart"
"19292","11017","Billy Madison"
"19292","11852","Mambuza Bongo Guy (uncredited)"
"19292","13595","Pip"
"19292","1824","Henry Roth"
"19292","2022","Longfellow Deeds"
"19292","20829","George Simmons"
"19292","232672","Jim"
"19292","2355","Charlie Fineman"
"19292","2539","John Clasky"
"19292","3563","Charles Chuck Levine"
"19292","38317","Monkey (voice)"
"19292","38365","Lenny Feder"
"19292","50546","Danny Maccabee"
"19292","71880","Jack"
"19292","71880","Jill"
"19292","76492","Dracula (voice)"
"19292","8051","Barry Egan"
"19292","87428","Donny"
"19292","9032","Sonny Koufax"
"19292","9291","Paul Crewe"
"19292","9339","Michael Newman"
"19292","9506","Dave Buznik"
"19292","9612","Carmine"
"19292","9614","Happy Gilmore"
"19292","9678","Nicky"
"192","9437","Alex Cross"
"192","9586","Judge Leonard White"
"192","9665","Sgt. Maj. John Rawlins"
"19","2976","Prudy Pringleton"
"19299","14299","Howlin' Wolf"
"19299","1830","Andre Baptiste Sr."
"19299","22164","James"
"19299","28089","Stuart Dorsett"
"19299","81390","Andy"
"19299","9567","Ellis 'Zee' Pettigrew"
"19302","10070","Edgy Cat"
"19302","10358","Lester"
"19302","13532","Guy at gas station"
"19302","1832","Jay"
"19302","2255","Jay"
"19302","2292","Jay"
"19302","2293","Jay"
"19302","2294","Jay"
"19302","2295","Jay"
"19302","4234","Jay"
"19303","1273","Diner Cook (voice)"
"19303","13532","Guy at gas station"
"19303","13668","Sam"
"19303","1571","The Warlock"
"19303","16070","Himself - Director of 'Clerks' and 'Jersey Girl'"
"19303","1832","Silent Bob"
"19303","2255","Silent Bob"
"19303","2292","Silent Bob"
"19303","2293","Silent Bob"
"19303","2294","Silent Bob"
"19303","2295","Silent Bob"
"19303","4234","Silent Bob"
"19303","44877","Big Larry"
"19303","4723","Simon Theory"
"193048","17466","Priest"
"1930","6037","Lionel Twain"
"1930","703","Truman Capote Look-Alike (uncredited)"
"193","10083","Defense Secretary David Brice"
"193","10393","Jimmy McGinty"
"193","1051","Det. Jimmy Popeye Doyle"
"193","10562","Henry Hearst"
"193","10711","Doyle"
"193","10833","William B. Tensy"
"193","11000","Sen. Kevin Keeley"
"193","11088","Joe Moore"
"193","11329","Rankin Fitch"
"193","11411","Lex Luthor"
"193","12106","John Herod"
"193","12160","Nicholas Earp"
"193","1632","Agent Rupert Anderson"
"193","1924","Lex Luthor"
"1932","11113","Eliza Doolittle"
"1932","11206","Susy Hendrix"
"1932","11352","Hap"
"1932","13320","Jo Stockton"
"1932","164","Holly Golightly"
"1932","20139","Karen Wright"
"1932","3001","Nicole Bonnet"
"1932","4808","Regina Lampert"
"19326","11867","Smooth"
"19326","557","Houseman"
"19326","559","Houseman"
"1932","6620","Sabrina Fairchild"
"19326","9333","The Undertaker"
"1932","804","Princess Ann"
"193","3034","Blindman"
"193304","2300","Himself"
"1933","164","Paul „Fred“ Varjak"
"193318","178","Nancy"
"193","33","Little Bill Daggett"
"19335","10673","Dolores the Realtor"
"19335","3116","Cass"
"193","37233","Avery Tolar"
"19337","24655","Miss McDonald"
"1934","164","2-E (Mrs. Failenson)"
"193","475","Buck Barrow"
"1934","828","Helen Benson"
"1935","164","Doc Golightly"
"193","551","Reverand Scott"
"193","5693","Coach Norman Dale"
"193","5902","Maj. Gen. Stanislaw F. Sosabowski"
"193","592","Harry Caul"
"19360","199643","Patricia"
"193","6073","Arnold Margolese"
"19360","86868","Muriel Salomon"
"1936","11165","Admiral Husband E. Kimmel"
"1936","11557","Mr. Beamish"
"1936","1598","Judge"
"1936","16113","Ben Kaplan"
"1936","164","O. J. Berman"
"1936","389","Juror 1"
"19363","99579","Mme de Rochereuil"
"1936","4176","Signor Bianchi"
"1936","539","Det. Milton Arbogast"
"1936","654","Gillette (uncredited)"
"193","66","President Allen Richmond"
"1936","8333","Mr. Green - Harold Longman"
"1936","891","Howard Simons"
"1937","10948","Adult Tod (voice)"
"1937","11114","Lampie"
"1937","11576","Ding 'Dingy' Bell"
"1937","11828","Erik's Grandfather"
"1937","1593","Kaa"
"1937","164","Mr. Yunioshi"
"1937","18269","Sparky (voice)"
"193763","1452","Bo the Bartender"
"1937","64328","Smalltown Resident"
"1937","9447","Fugly Floom, the Speechless Man in Hotel"
"193","8007","Admiral Leslie McMahon Reigart"
"193","8012","Harry Zimm"
"19384","10351","Johnny Valentine"
"19384","11908","Reverend Zombie"
"19384","13363","Dan"
"19384","19185","Ben"
"19384","43919","Reverend Zombie"
"19384","55779","Bludworth"
"19384","9358","William Bludworth"
"19384","9495","Grange"
"19384","9529","The Candyman"
"19384","9529","Daniel Robitaille"
"19384","9532","William Bludworth"
"19384","9802","Captain Darrow"
"193","8536","Lex Luthor"
"193","8916","General Mandible (voice)"
"193","8963","Captain Frank Ramsey"
"19392","1833","Tom Collins"
"19392","72432","Daryl King"
"19393","1833","Angel Dumott Schunard"
"19394","109445","Elsa (voice)"
"19394","1833","Maurenn Johnson"
"193","9428","Royal Tenenbaum"
"19394","4523","Nancy Tremaine"
"193","9798","Edward Lyle"
"19400","11576","Policeman Outside Irwin & Ray's Garage"
"19400","829","Mayor Bagby"
"19403","27932","Arnie"
"194092","10072","Priest in Church"
"194","10911","Squadron Leader Howard Barnsby RAAF"
"19411","10671","Harry Standish"
"19411","11123","Dr. James Vance"
"194","11362","Abbé Faria"
"19411","5143","Evan"
"19414","10178","Comdr. DeVriess"
"19415","10403","Herself"
"19415","12220","Dot"
"19426","10098","The Kid"
"19429","11713","Chen Zhen"
"19429","12481","Cheng Chao-an"
"19429","13333","Billy Lo"
"19429","9461","Lee"
"19429","9462","Tang Lung (a.k.a. Dragon)"
"1943","164","Tiffany's salesman"
"1943","3116","Mr. O'Daniel"
"194","33","English Bob"
"19434","12919","Mrs. Mancini"
"19434","18462","Doris"
"19435","1688","Hoskyns"
"19439","11974","Dr. Werner Klopek"
"19439","13161","Shorts"
"19439","15171","Wilbur"
"19439","22582","Doctor Applecheek"
"19439","334","Thurston Howell"
"19439","525","Head Nazi"
"1943","982","Sen. Thomas Jordan"
"19439","928","Employee fired for Smoking"
"19439","9522","Father O'Neil"
"1944","10340","Boris (voice)"
"1944","164","Sally Tomato"
"19","44754","Wounded Woman"
"19448","11916","3rd American"
"1945","164","Mag Wildwood"
"19453","11313","Len Files"
"19453","11560","FBI Agent Mullins"
"19453","11699","Pat McDonagh"
"19453","12509","Dan Miller"
"19453","12690","Abner Raines"
"19453","155084","Father"
"19453","1573","Marvin"
"19453","164457","Dan Dugan"
"19453","25196","Bill Wilson"
"19453","318","Hector"
"19453","37414","Sheriff Bob Maples"
"19453","9792","Gas Station Attendant"
"19454","18129","Irv"
"19455","9611","Christy Masters"
"19456","10167","49er Six"
"19456","132137","Valdoma"
"19456","59197","Karla"
"19463","10339","Stubbs"
"194670","10328","Kitty"
"194","671","Albus Dumbledore"
"194","672","Albus Dumbledore"
"19468","10154","FBI Agent Bob Connell"
"19468","1850","Stanley Kaufman"
"19468","557","Maximilian Fargas"
"19468","8843","Dr. Barry Cooperman"
"19468","9039","Dr. Stein"
"19468","9366","Agent Dean Blandford FBI"
"19468","9573","Mr. Toliver"
"19468","9824","Banyon"
"1947","164","Rusty Trawler"
"1948","164","Sid Arbuck"
"19484","10160","Mr. Jordan"
"19485","13166","Anchorman"
"19487","10691","Carlos Nuñez"
"19487","10866","Marine"
"19487","11128","Keith Perez"
"19487","13279","Javier Villareal"
"19487","13416","Brian Chavez"
"19487","13812","Jake"
"19487","14635","Joaquin 'Wack' Campos"
"19487","1690","Paxton"
"19487","1691","Paxton"
